metric,value
initial_capital,100000.00
final_equity,100560.42
total_pnl,560.42
total_realized_pnl,612.50
total_unrealized_pnl,0.00
total_commissions,52.08
total_return_pct,0.5604
annualized_return_pct,18026.0530
max_drawdown,942.36
max_drawdown_pct,0.9322
max_drawdown_duration_days,0.2039
annualized_volatility,34.4205
downside_deviation,23.9469
sharpe_ratio,523.5553
sortino_ratio,752.5429
calmar_ratio,19337.6972
profit_factor,1.4414
total_trades,24
winning_trades,8
losing_trades,4
win_rate_pct,66.6667
avg_win,250.00
avg_loss,-346.87
avg_win_loss_ratio,0.7207
largest_win,250.00
largest_loss,-350.00
avg_pnl_per_trade,25.52
max_position_held,1
total_volume_traded,24
time_in_market_pct,58.3013
backtest_duration_days,0.2708
